Vegetables,Calories,Carbohydrates,Protiens,Fats,Fibre
Artichoke,47,10.5,3.3,0.2,5.4
Asparagus,24.4,1.9,2.9,0.6,1.7
Aubergine,14,2.1,0.9,0.4,1.9
Baked Potato,109,25.2,2.3,0.1,2.4
Beans,97,11.7,7.9,0.6,6.5
Broccoli,19,2.8,1.3,0.4,2.2
Brussels Sprouts,44,10,1.7,0.18,2
Butternut Squash,30.8,1.7,3.9,0.9,2.6
Cabbage,24,1.1,3.1,0.8,2.3
Carrots,35,3.1,3.3,1,2.9
Celery,33,3,3,1.2,3.3
Chips,30,6.8,0.9,0.1,1.3
Courgette,15.3,2.2,1,0.3,1.7
Cucumber,27,5,1.2,0.2,2.1
Fennel,43,10.1,1.03,0.19,3
Green Beans,22,4.4,0.6,0.4,2.3
Kale,28,2.1,2.9,0.9,1.6
Leek,7,0.9,0.5,0.2,1
Lettuce,204.5,29.6,3.16,8.4,1.2
Mashed Potato (with Butter),253,37.7,3.3,9.9,0
Mixed Leaf Salad,18,1.8,1.8,0.4,0.9
Mixed Salad,10,1.5,0.7,0.1,0.6
Mixed Vegetables,12,1.8,0.9,0.2,2.4
Mushrooms,11,1.5,0.9,0.2,2.3
Olives,23.5,3.15,1.8,0.41,2.92
Onions,28,1.2,2.9,1.4,2.6
Onion,24,1,2.4,1.1,2.8
Okra,22,2.9,1.6,0.5,2.2
Parsnip,21,2.6,1.2,0.7,1.7
Peas,14.3,1.8,1.1,0.33,1.2
Potatoes,13.1,1.8,0.8,0.3,0.4
Pepper,15,1.8,0.8,0.5,0.73
Peppers,104,15.5,1.8,4.3,1.1
Pumpkin,18.7,2.9,1.2,0.2,1.8
Radish,24,4.2,1,0.3,2
Rocket,42.7,6.5,2.8,0.7,2.6
Spinach,14.8,0.5,2.34,0.44,1.2
Swede,13.5,0.4,1.8,0.5,1.08
Sweetcorn,157,0.3,2.4,16.2,1.5
Tomato,164,3.5,1,16.2,3.1
Tomatoes,130,0.9,1.1,13.3,2.5
Turnip,38.2,8,1.2,0.2,1.3
