Vegetables,Calories,Carbohydrates,Protiens,Fats,Fibre
"Almonds, Whole",622.5kcal,6.5g,23.3g,55.8g,5.55g
Brazil Nuts,687.4kcal,2.9g,15.5g,68.3g,4.9g
"Cashew Nuts, Plain",584.5kcal,18.8g,15.7g,48.9g,3.4g
Chestnuts,170.0kcal,36.6g,2.0g,2.7g,4.1g
Hazelnuts,655.0kcal,5.8g,15.4g,63.5g,6.5g
Mixed Nuts,607kcal,7.9g,22.9g,54.1g,6g
"Peanuts, Salted, KP*",622.0kcal,7.8g,28.5g,53.0g,6.2g
Sesame Seeds,610.5kcal,3.7g,22.3g,56.4g,7.8g
Sunflower Seeds,585.3kcal,15.0g,23.4g,48.7g,5.7g
Walnuts,669kcal,6.34g,17.4g,65g,4.7g
